Activity,Type,Start,Finish,Details
Feeding,Bottle,"2025-08-27, 13:50","2025-08-27, 14:10","200ml, formula"
Feeding,Bottle,"2025-08-27, 10:15","2025-08-27, 10:25","145ml, formula"
Feeding,Bottle,"2025-08-27, 06:50","2025-08-27, 07:00","186ml, formula"
Feeding,Bottle,"2025-08-27, 01:05","2025-08-27, 01:15","209ml, formula"
Feeding,Bottle,"2025-08-26, 18:30","2025-08-26, 19:00","224ml, formula"
Feeding,Bottle,"2025-08-26, 16:30","2025-08-26, 16:40","45ml, formula"
Feeding,Bottle,"2025-08-26, 13:30","2025-08-26, 13:45","174ml, formula"
Feeding,Bottle,"2025-08-26, 10:25","2025-08-26, 10:55","125ml, formula"
Feeding,Bottle,"2025-08-26, 06:55","2025-08-26, 07:25","153ml, formula"
Feeding,Bottle,"2025-08-26, 01:55","2025-08-26, 02:05","248ml, formula"
Feeding,Bottle,"2025-08-25, 18:30","2025-08-25, 19:00","223ml, formula"
Feeding,Bottle,"2025-08-25, 13:40","2025-08-25, 13:50","127ml, formula"
Feeding,Bottle,"2025-08-25, 10:15","2025-08-25, 10:25","164ml, formula"
Feeding,Bottle,"2025-08-25, 07:15","2025-08-25, 07:45","111ml, formula"
Feeding,Bottle,"2025-08-25, 01:10","2025-08-25, 01:30","230ml, formula"
Feeding,Bottle,"2025-08-24, 18:30","2025-08-24, 19:00","242ml, formula"
Feeding,Bottle,"2025-08-24, 14:45","2025-08-24, 15:00","130ml, formula"
Feeding,Bottle,"2025-08-24, 11:15","2025-08-24, 12:00","200ml, formula"
Feeding,Bottle,"2025-08-24, 07:15","2025-08-24, 07:45","115ml, formula"
Feeding,Bottle,"2025-08-24, 01:10","2025-08-24, 01:20","209ml, formula"
Feeding,Bottle,"2025-08-23, 18:55","2025-08-23, 19:15","209ml, formula"
Feeding,Bottle,"2025-08-23, 15:20","2025-08-23, 15:40","148ml, formula"
Feeding,Bottle,"2025-08-23, 12:00","2025-08-23, 12:30","120ml, formula"
Feeding,Bottle,"2025-08-23, 08:10","2025-08-23, 08:40","175ml, formula"
Feeding,Bottle,"2025-08-23, 03:25","2025-08-23, 03:35","208ml, formula"
Feeding,Bottle,"2025-08-22, 22:50","2025-08-22, 23:05","144ml, formula"
Feeding,Bottle,"2025-08-22, 18:25","2025-08-22, 18:40","206ml, formula"
Feeding,Bottle,"2025-08-22, 16:20","2025-08-22, 16:30","119ml, formula"
Feeding,Bottle,"2025-08-22, 13:20","2025-08-22, 13:30","141ml, formula"
Feeding,Bottle,"2025-08-22, 09:00","2025-08-22, 09:30","112ml, formula"
Feeding,Bottle,"2025-08-22, 05:15","2025-08-22, 05:30","144ml, formula"
Feeding,Bottle,"2025-08-22, 01:00","2025-08-22, 01:15","182ml, formula"
Feeding,Bottle,"2025-08-21, 18:55","2025-08-21, 19:10","286ml, formula"
Feeding,Bottle,"2025-08-21, 16:45","2025-08-21, 17:00","116ml, formula"
Feeding,Bottle,"2025-08-21, 13:25","2025-08-21, 13:45","234ml, formula"
Feeding,Bottle,"2025-08-21, 09:50","2025-08-21, 10:20","121ml, formula"
Feeding,Bottle,"2025-08-21, 06:40","2025-08-21, 07:10","93ml, formula"
Feeding,Bottle,"2025-08-21, 02:50","2025-08-21, 03:00","262ml, formula"
Feeding,Bottle,"2025-08-20, 18:30","2025-08-20, 19:00","242ml, formula"
Feeding,Bottle,"2025-08-20, 16:30","2025-08-20, 16:45","65ml, formula"
Feeding,Bottle,"2025-08-20, 13:00","2025-08-20, 13:30","120ml, formula"
Feeding,Bottle,"2025-08-20, 09:35","2025-08-20, 09:50","125ml, formula"
Feeding,Bottle,"2025-08-20, 06:15","2025-08-20, 06:30","206ml, formula"
Feeding,Bottle,"2025-08-20, 01:50","2025-08-20, 02:00","190ml, formula"
Feeding,Bottle,"2025-08-19, 18:40","2025-08-19, 18:50","184ml, formula"
Feeding,Bottle,"2025-08-19, 14:00","2025-08-19, 15:45","113ml, formula"
Feeding,Bottle,"2025-08-19, 11:00","2025-08-19, 11:10","121ml, formula"
Feeding,Bottle,"2025-08-19, 07:30","2025-08-19, 08:00","117ml, formula"
Feeding,Bottle,"2025-08-19, 01:15","2025-08-19, 01:25","266ml, formula"
Feeding,Bottle,"2025-08-18, 18:40","2025-08-18, 19:00","343ml, formula"
Feeding,Bottle,"2025-08-18, 16:35","2025-08-18, 16:50","96ml, formula"
Feeding,Bottle,"2025-08-18, 13:30","2025-08-18, 14:00","107ml, formula"
Feeding,Bottle,"2025-08-18, 10:30","2025-08-18, 11:00","130ml, formula"
Feeding,Bottle,"2025-08-18, 07:30","2025-08-18, 08:30","116ml, formula"
Feeding,Bottle,"2025-08-18, 00:30","2025-08-18, 00:45","155ml, formula"
Feeding,Bottle,"2025-08-17, 18:40","2025-08-17, 18:55","343ml, formula"
Feeding,Bottle,"2025-08-17, 16:15","2025-08-17, 16:25","110ml, formula"
Feeding,Bottle,"2025-08-17, 13:45","2025-08-17, 13:55","195ml, formula"
Feeding,Bottle,"2025-08-17, 10:00","2025-08-17, 10:45","145ml, formula"
Feeding,Bottle,"2025-08-17, 06:40","2025-08-17, 07:00","162ml, formula"
Feeding,Bottle,"2025-08-17, 00:20","2025-08-17, 00:30","82ml, formula"
Feeding,Bottle,"2025-08-16, 19:00","2025-08-16, 19:20","278ml, formula"
Feeding,Bottle,"2025-08-16, 16:00","2025-08-16, 16:30","153ml, formula"
Feeding,Bottle,"2025-08-16, 13:00","2025-08-16, 14:00","122ml, formula"
Feeding,Bottle,"2025-08-16, 10:00","2025-08-16, 10:15","134ml, formula"
Feeding,Bottle,"2025-08-16, 06:40","2025-08-16, 07:00","149ml, formula"
Feeding,Bottle,"2025-08-16, 01:05","2025-08-16, 01:15","150ml, formula"
Feeding,Bottle,"2025-08-15, 18:35","2025-08-15, 19:00","222ml, formula"
Feeding,Bottle,"2025-08-15, 15:50","2025-08-15, 16:30","102ml, formula"
Feeding,Bottle,"2025-08-15, 12:40","2025-08-15, 13:10","132ml, formula"
Feeding,Bottle,"2025-08-15, 09:10","2025-08-15, 09:20","116ml, formula"
Feeding,Bottle,"2025-08-15, 05:50","2025-08-15, 06:10","122ml, formula"
Feeding,Bottle,"2025-08-15, 00:30","2025-08-15, 02:00","131ml, formula"
Feeding,Bottle,"2025-08-14, 19:00","2025-08-14, 19:30","285ml, formula"
Feeding,Bottle,"2025-08-14, 15:15","2025-08-14, 15:45","114ml, formula"
Feeding,Bottle,"2025-08-14, 11:45","2025-08-14, 12:45","138ml, formula"
Feeding,Bottle,"2025-08-14, 08:10","2025-08-14, 10:10","152ml, formula"
Feeding,Bottle,"2025-08-14, 00:40","2025-08-14, 00:50","188ml, formula"
Feeding,Bottle,"2025-08-13, 18:40","2025-08-13, 19:10","312ml, formula"
Feeding,Bottle,"2025-08-13, 14:50","2025-08-13, 15:20","165ml, formula"
Feeding,Bottle,"2025-08-13, 11:45","2025-08-13, 12:15","161ml, formula"
Feeding,Bottle,"2025-08-13, 08:25","2025-08-13, 08:55","150ml, formula"
Feeding,Bottle,"2025-08-13, 02:55","2025-08-13, 03:15","184ml, formula"
Feeding,Bottle,"2025-08-12, 18:35","2025-08-12, 19:00","299ml, formula"
Feeding,Bottle,"2025-08-12, 15:10","2025-08-12, 16:00","156ml, formula"
Feeding,Bottle,"2025-08-12, 11:10","2025-08-12, 13:00","147ml, formula"
Feeding,Bottle,"2025-08-12, 07:55","2025-08-12, 08:55","118ml, formula"
Feeding,Bottle,"2025-08-12, 03:30","2025-08-12, 03:40","149ml, formula"
Feeding,Bottle,"2025-08-12, 00:40","2025-08-12, 00:50","92ml, formula"
Feeding,Bottle,"2025-08-11, 18:50","2025-08-11, 19:20","260ml, formula"
Feeding,Bottle,"2025-08-11, 15:50","2025-08-11, 16:30","184ml, formula"
Feeding,Bottle,"2025-08-11, 12:45","2025-08-11, 13:15","108ml, formula"
Feeding,Bottle,"2025-08-11, 09:10","2025-08-11, 09:40","138ml, formula"
Feeding,Bottle,"2025-08-11, 05:45","2025-08-11, 06:15","148ml, formula"
Feeding,Bottle,"2025-08-11, 01:15","2025-08-11, 01:25","37ml, formula"
Feeding,Bottle,"2025-08-10, 23:40","2025-08-10, 23:50","36ml, formula"
Feeding,Bottle,"2025-08-10, 18:35","2025-08-10, 19:00","313ml, formula"
Feeding,Bottle,"2025-08-10, 17:15","2025-08-10, 17:20","11ml, formula"
Feeding,Bottle,"2025-08-10, 14:35","2025-08-10, 15:05","131ml, formula"
Feeding,Bottle,"2025-08-10, 11:35","2025-08-10, 12:05","138ml, formula"
Feeding,Bottle,"2025-08-10, 07:35","2025-08-10, 09:10","107ml, formula"
Feeding,Bottle,"2025-08-10, 02:05","2025-08-10, 02:30","196ml, formula"
Feeding,Bottle,"2025-08-09, 19:00","2025-08-09, 19:20","200ml, formula"
Feeding,Bottle,"2025-08-09, 16:45","2025-08-09, 17:15","65ml, formula"
Feeding,Bottle,"2025-08-09, 13:10","2025-08-09, 13:40","77ml, formula"
Feeding,Bottle,"2025-08-09, 10:10","2025-08-09, 10:40","69ml, formula"
Feeding,Bottle,"2025-08-09, 07:10","2025-08-09, 07:40","139ml, formula"
Feeding,Bottle,"2025-08-09, 02:00","2025-08-09, 02:15","124ml, formula"
Feeding,Bottle,"2025-08-08, 18:40","2025-08-08, 19:00","219ml, formula"
Feeding,Bottle,"2025-08-08, 17:00","2025-08-08, 17:05","12ml, formula"
Feeding,Bottle,"2025-08-08, 14:20","2025-08-08, 14:50","90ml, formula"
Feeding,Bottle,"2025-08-08, 11:15","2025-08-08, 11:45","161ml, formula"
Feeding,Bottle,"2025-08-08, 08:00","2025-08-08, 08:30","209ml, formula"
Feeding,Bottle,"2025-08-08, 01:00","2025-08-08, 02:00","177ml, formula"
Feeding,Bottle,"2025-08-07, 18:30","2025-08-07, 19:00","249ml, formula"
Feeding,Bottle,"2025-08-07, 14:55","2025-08-07, 15:25","50ml, formula"
Feeding,Bottle,"2025-08-07, 11:30","2025-08-07, 12:45","144ml, formula"
Feeding,Bottle,"2025-08-07, 08:30","2025-08-07, 09:00","79ml, formula"
Feeding,Bottle,"2025-08-07, 03:15","2025-08-07, 03:30","151ml, formula"
Feeding,Bottle,"2025-08-06, 18:30","2025-08-06, 19:00","258ml, formula"
Feeding,Bottle,"2025-08-06, 15:15","2025-08-06, 17:00","94ml, formula"
Feeding,Bottle,"2025-08-06, 12:00","2025-08-06, 12:30","82ml, formula"
Feeding,Bottle,"2025-08-06, 10:40","2025-08-06, 11:00","59ml, formula"
Feeding,Bottle,"2025-08-06, 07:35","2025-08-06, 08:00","118ml, formula"
Feeding,Bottle,"2025-08-05, 23:00","2025-08-05, 23:15","82ml, formula"
Feeding,Bottle,"2025-08-05, 18:30","2025-08-05, 19:00","202ml, formula"
Feeding,Bottle,"2025-08-05, 17:00","2025-08-05, 17:05","11ml, formula"
Feeding,Bottle,"2025-08-05, 14:15","2025-08-05, 14:45","126ml, formula"
Feeding,Bottle,"2025-08-05, 10:50","2025-08-05, 11:20","104ml, formula"
Feeding,Bottle,"2025-08-05, 07:40","2025-08-05, 08:00","113ml, formula"
Feeding,Bottle,"2025-08-05, 03:15","2025-08-05, 03:30","99ml, formula"
Feeding,Bottle,"2025-08-04, 18:45","2025-08-04, 19:00","144ml, formula"
Feeding,Bottle,"2025-08-04, 17:05","2025-08-04, 17:30","91ml, formula"
Feeding,Bottle,"2025-08-04, 13:30","2025-08-04, 14:00","111ml, formula"
Feeding,Bottle,"2025-08-04, 10:30","2025-08-04, 11:30","150ml, formula"
Feeding,Bottle,"2025-08-04, 07:45","2025-08-04, 08:00","72ml, formula"
Feeding,Bottle,"2025-08-04, 02:20","2025-08-04, 02:35","139ml, formula"
Feeding,Bottle,"2025-08-03, 18:35","2025-08-03, 19:00","252ml, formula"
Feeding,Bottle,"2025-08-03, 17:00","2025-08-03, 17:10","40ml, formula"
Feeding,Bottle,"2025-08-03, 14:40","2025-08-03, 15:10","168ml, formula"
Feeding,Bottle,"2025-08-03, 11:40","2025-08-03, 12:00","100ml, formula"
Feeding,Bottle,"2025-08-03, 07:40","2025-08-03, 08:00","101ml, formula"
Feeding,Bottle,"2025-08-03, 00:55","2025-08-03, 01:05","121ml, formula"
Feeding,Bottle,"2025-08-02, 18:40","2025-08-02, 19:00","209ml, formula"
Feeding,Bottle,"2025-08-02, 17:00","2025-08-02, 17:10","59ml, formula"
Feeding,Bottle,"2025-08-02, 13:50","2025-08-02, 14:05","219ml, formula"
Feeding,Bottle,"2025-08-02, 10:30","2025-08-02, 11:00","121ml, formula"
Feeding,Bottle,"2025-08-02, 07:10","2025-08-02, 07:40","134ml, formula"
Feeding,Bottle,"2025-08-02, 02:40","2025-08-02, 02:50","131ml, formula"
Feeding,Bottle,"2025-08-01, 18:50","2025-08-01, 19:10","246ml, formula"
Feeding,Bottle,"2025-08-01, 17:00","2025-08-01, 17:15","93ml, formula"
Feeding,Bottle,"2025-08-01, 13:35","2025-08-01, 13:59","189ml, formula"
Feeding,Bottle,"2025-08-01, 10:25","2025-08-01, 10:55","179ml, formula"
Feeding,Bottle,"2025-08-01, 07:30","2025-08-01, 08:00","91ml, formula"
Feeding,Bottle,"2025-08-01, 01:30","2025-08-01, 01:45","146ml, formula"
Feeding,Bottle,"2025-07-31, 18:55","2025-07-31, 19:40","201ml, formula"
Feeding,Bottle,"2025-07-31, 15:10","2025-07-31, 15:40","96ml, formula"
Feeding,Bottle,"2025-07-31, 11:50","2025-07-31, 12:10","194ml, formula"
Feeding,Bottle,"2025-07-31, 08:20","2025-07-31, 09:10","153ml, formula"
Feeding,Bottle,"2025-07-31, 00:45","2025-07-31, 00:50","83ml, formula"
Feeding,Bottle,"2025-07-30, 18:30","2025-07-30, 19:00","208ml, formula"
Feeding,Bottle,"2025-07-30, 16:55","2025-07-30, 17:00","26ml, formula"
Feeding,Bottle,"2025-07-30, 14:20","2025-07-30, 14:50","80ml, formula"
Feeding,Bottle,"2025-07-30, 11:10","2025-07-30, 11:40","151ml, formula"
Feeding,Bottle,"2025-07-30, 07:30","2025-07-30, 07:50","120ml, formula"
Feeding,Bottle,"2025-07-30, 01:20","2025-07-30, 01:25","92ml, formula"
Feeding,Bottle,"2025-07-29, 18:50","2025-07-29, 19:10","244ml, formula"
Feeding,Bottle,"2025-07-29, 15:25","2025-07-29, 15:55","147ml, formula"
Feeding,Bottle,"2025-07-29, 12:05","2025-07-29, 12:30","121ml, formula"
Feeding,Bottle,"2025-07-29, 08:55","2025-07-29, 09:25","154ml, formula"
Feeding,Bottle,"2025-07-29, 05:30","2025-07-29, 05:35","64ml, formula"
Feeding,Bottle,"2025-07-29, 01:10","2025-07-29, 01:19","148ml, formula"
Feeding,Bottle,"2025-07-28, 18:50","2025-07-28, 19:10","146ml, formula"
Feeding,Bottle,"2025-07-28, 16:30","2025-07-28, 17:00","87ml, formula"
Feeding,Bottle,"2025-07-28, 13:00","2025-07-28, 13:30","144ml, formula"
Feeding,Bottle,"2025-07-28, 09:30","2025-07-28, 10:00","128ml, formula"
Feeding,Bottle,"2025-07-28, 05:40","2025-07-28, 05:50","130ml, formula"
Feeding,Bottle,"2025-07-28, 00:05","2025-07-28, 00:15","120ml, formula"
Feeding,Bottle,"2025-07-27, 19:05","2025-07-27, 19:15","172ml, formula"
Feeding,Bottle,"2025-07-27, 16:55","2025-07-27, 17:10","107ml, formula"
Feeding,Bottle,"2025-07-27, 13:20","2025-07-27, 13:40","141ml, formula"
Feeding,Bottle,"2025-07-27, 09:25","2025-07-27, 09:55","143ml, formula"
Feeding,Bottle,"2025-07-27, 05:55","2025-07-27, 06:25","155ml, formula"
Feeding,Bottle,"2025-07-27, 01:50","2025-07-27, 02:05","195ml, formula"
Feeding,Bottle,"2025-07-26, 20:10","2025-07-26, 20:20","112ml, formula"
Feeding,Bottle,"2025-07-26, 17:15","2025-07-26, 17:30","74ml, formula"
Feeding,Bottle,"2025-07-26, 14:55","2025-07-26, 15:25","130ml, formula"
Feeding,Bottle,"2025-07-26, 11:35","2025-07-26, 12:00","118ml, formula"
Feeding,Bottle,"2025-07-26, 08:10","2025-07-26, 08:40","140ml, formula"
Feeding,Bottle,"2025-07-26, 05:10","2025-07-26, 05:20","149ml, formula"
Feeding,Bottle,"2025-07-25, 18:55","2025-07-25, 19:10","279ml, formula"
Feeding,Bottle,"2025-07-25, 14:40","2025-07-25, 15:00","206ml, formula"
Feeding,Bottle,"2025-07-25, 11:05","2025-07-25, 11:20","174ml, formula"
Feeding,Bottle,"2025-07-25, 08:00","2025-07-25, 08:30","99ml, formula"
Feeding,Bottle,"2025-07-25, 04:10","2025-07-25, 04:25","208ml, formula"
Feeding,Bottle,"2025-07-24, 19:00","2025-07-24, 19:15","214ml, formula"
Feeding,Bottle,"2025-07-24, 15:20","2025-07-24, 15:35","120ml, formula"
Feeding,Bottle,"2025-07-24, 12:00","2025-07-24, 12:15","112ml, formula"
Feeding,Bottle,"2025-07-24, 08:55","2025-07-24, 09:10","106ml, formula"
Feeding,Bottle,"2025-07-24, 05:50","2025-07-24, 06:05","116ml, formula"
Feeding,Bottle,"2025-07-24, 01:30","2025-07-24, 01:40","91ml, formula"
Feeding,Bottle,"2025-07-23, 19:05","2025-07-23, 19:30","253ml, formula"
Feeding,Bottle,"2025-07-23, 15:30","2025-07-23, 16:00","211ml, formula"
Feeding,Bottle,"2025-07-23, 12:00","2025-07-23, 12:20","149ml, formula"
Feeding,Bottle,"2025-07-23, 08:35","2025-07-23, 09:30","113ml, formula"
Feeding,Bottle,"2025-07-23, 05:20","2025-07-23, 05:30","124ml, formula"
Feeding,Bottle,"2025-07-22, 19:00","2025-07-22, 19:30","244ml, formula"
Feeding,Bottle,"2025-07-22, 17:10","2025-07-22, 17:15","75ml, formula"
Feeding,Bottle,"2025-07-22, 14:10","2025-07-22, 14:30","95ml, formula"
Feeding,Bottle,"2025-07-22, 11:00","2025-07-22, 11:45","153ml, formula"
Feeding,Bottle,"2025-07-22, 08:15","2025-07-22, 08:30","122ml, formula"
Feeding,Bottle,"2025-07-22, 04:50","2025-07-22, 05:00","164ml, formula"
Feeding,Bottle,"2025-07-21, 19:00","2025-07-21, 19:15","180ml, formula"
Feeding,Bottle,"2025-07-21, 17:00","2025-07-21, 17:05","29ml, formula"
Feeding,Bottle,"2025-07-21, 14:30","2025-07-21, 15:00","140ml, formula"
Feeding,Bottle,"2025-07-21, 11:25","2025-07-21, 11:55","168ml, formula"
Feeding,Bottle,"2025-07-21, 08:00","2025-07-21, 09:00","152ml, formula"
Feeding,Bottle,"2025-07-21, 03:50","2025-07-21, 03:55","106ml, formula"
Feeding,Bottle,"2025-07-20, 22:30","2025-07-20, 22:35","37ml, formula"
Feeding,Bottle,"2025-07-20, 19:05","2025-07-20, 19:30","209ml, formula"
Feeding,Bottle,"2025-07-20, 17:40","2025-07-20, 17:45","46ml, formula"
Feeding,Bottle,"2025-07-20, 14:15","2025-07-20, 14:40","138ml, formula"
Feeding,Bottle,"2025-07-20, 10:50","2025-07-20, 11:50","150ml, formula"
Feeding,Bottle,"2025-07-20, 07:30","2025-07-20, 08:00","138ml, formula"
Feeding,Bottle,"2025-07-20, 02:00","2025-07-20, 02:15","126ml, formula"
Feeding,Bottle,"2025-07-19, 19:00","2025-07-19, 19:30","228ml, formula"
Feeding,Bottle,"2025-07-19, 15:00","2025-07-19, 15:30","140ml, formula"
Feeding,Bottle,"2025-07-19, 11:40","2025-07-19, 12:05","176ml, formula"
Feeding,Bottle,"2025-07-19, 08:00","2025-07-19, 08:30","121ml, formula"
Feeding,Bottle,"2025-07-19, 04:45","2025-07-19, 05:00","180ml, formula"
Feeding,Bottle,"2025-07-19, 00:45","2025-07-19, 00:55","130ml, formula"
Feeding,Bottle,"2025-07-18, 19:10","2025-07-18, 19:30","248ml, formula"
Feeding,Bottle,"2025-07-18, 16:45","2025-07-18, 17:15","67ml, formula"
Feeding,Bottle,"2025-07-18, 13:45","2025-07-18, 14:15","188ml, formula"
Feeding,Bottle,"2025-07-18, 10:45","2025-07-18, 11:25","80ml, formula"
Feeding,Bottle,"2025-07-18, 07:40","2025-07-18, 08:00","157ml, formula"
Feeding,Bottle,"2025-07-17, 22:45","2025-07-17, 23:10","131ml, formula"
Feeding,Bottle,"2025-07-17, 19:00","2025-07-17, 19:15","191ml, formula"
Feeding,Bottle,"2025-07-17, 15:45","2025-07-17, 16:00","115ml, formula"
Feeding,Bottle,"2025-07-17, 12:45","2025-07-17, 13:00","184ml, formula"
Feeding,Bottle,"2025-07-17, 09:15","2025-07-17, 09:45","139ml, formula"
Feeding,Bottle,"2025-07-17, 06:10","2025-07-17, 06:30","151ml, formula"
Feeding,Bottle,"2025-07-17, 01:10","2025-07-17, 01:15","97ml, formula"
Feeding,Bottle,"2025-07-16, 18:50","2025-07-16, 19:10","228ml, formula"
Feeding,Bottle,"2025-07-16, 15:45","2025-07-16, 16:10","150ml, formula"
Feeding,Bottle,"2025-07-16, 12:30","2025-07-16, 13:00","133ml, formula"
Feeding,Bottle,"2025-07-16, 09:20","2025-07-16, 09:50","108ml, formula"
Feeding,Bottle,"2025-07-16, 06:20","2025-07-16, 06:40","178ml, formula"
Feeding,Bottle,"2025-07-16, 01:35","2025-07-16, 01:50","150ml, formula"
Feeding,Bottle,"2025-07-15, 19:15","2025-07-15, 19:30","173ml, formula"
Feeding,Bottle,"2025-07-15, 16:30","2025-07-15, 16:45","122ml, formula"
Feeding,Bottle,"2025-07-15, 13:25","2025-07-15, 13:45","168ml, formula"
Feeding,Bottle,"2025-07-15, 10:15","2025-07-15, 10:30","142ml, formula"
Feeding,Bottle,"2025-07-15, 07:05","2025-07-15, 07:20","155ml, formula"
Feeding,Bottle,"2025-07-15, 03:00","2025-07-15, 03:10","108ml, formula"
Feeding,Bottle,"2025-07-14, 19:00","2025-07-14, 19:15","251ml, formula"
Feeding,Bottle,"2025-07-14, 16:00","2025-07-14, 17:30","64ml, formula"
Feeding,Bottle,"2025-07-14, 13:15","2025-07-14, 13:30","272ml, formula"
Feeding,Bottle,"2025-07-14, 10:25","2025-07-14, 10:45","120ml, formula"
Feeding,Bottle,"2025-07-14, 07:15","2025-07-14, 07:30","103ml, formula"
Feeding,Bottle,"2025-07-14, 00:35","2025-07-14, 00:45","86ml, formula"
Feeding,Bottle,"2025-07-13, 19:15","2025-07-13, 19:45","214ml, formula"
Feeding,Bottle,"2025-07-13, 17:00","2025-07-13, 17:30","113ml, formula"
Feeding,Bottle,"2025-07-13, 14:00","2025-07-13, 14:30","118ml, formula"
Feeding,Bottle,"2025-07-13, 10:45","2025-07-13, 11:45","138ml, formula"
Feeding,Bottle,"2025-07-13, 07:20","2025-07-13, 07:30","73ml, formula"
Feeding,Bottle,"2025-07-13, 04:15","2025-07-13, 04:20","63ml, formula"
Feeding,Bottle,"2025-07-12, 19:15","2025-07-12, 19:30","186ml, formula"
Feeding,Bottle,"2025-07-12, 17:00","2025-07-12, 17:10","70ml, formula"
Feeding,Bottle,"2025-07-12, 14:00","2025-07-12, 14:30","106ml, formula"
Feeding,Bottle,"2025-07-12, 10:20","2025-07-12, 12:20","73ml, formula"
Feeding,Bottle,"2025-07-12, 06:30","2025-07-12, 07:30","137ml, formula"
Feeding,Bottle,"2025-07-12, 03:35","2025-07-12, 03:50","142ml, formula"
Feeding,Bottle,"2025-07-12, 01:25","2025-07-12, 01:30","39ml, formula"
Feeding,Bottle,"2025-07-11, 23:40","2025-07-11, 23:45","56ml, formula"
Feeding,Bottle,"2025-07-11, 19:00","2025-07-11, 19:15","205ml, formula"
Feeding,Bottle,"2025-07-11, 17:15","2025-07-11, 17:30","36ml, formula"
Feeding,Bottle,"2025-07-11, 14:25","2025-07-11, 14:45","125ml, formula"
Feeding,Bottle,"2025-07-11, 11:20","2025-07-11, 11:35","105ml, formula"
Feeding,Bottle,"2025-07-11, 08:30","2025-07-11, 09:00","36ml, formula"
Feeding,Bottle,"2025-07-11, 04:35","2025-07-11, 04:45","152ml, formula"
Feeding,Bottle,"2025-07-11, 01:45","2025-07-11, 01:50","47ml, formula"
Feeding,Bottle,"2025-07-10, 23:15","2025-07-10, 23:20","65ml, formula"
Feeding,Bottle,"2025-07-10, 19:00","2025-07-10, 19:30","201ml, formula"
Feeding,Bottle,"2025-07-10, 16:15","2025-07-10, 16:45","110ml, formula"
Feeding,Bottle,"2025-07-10, 13:15","2025-07-10, 13:45","95ml, formula"
Feeding,Bottle,"2025-07-10, 09:30","2025-07-10, 09:45","209ml, formula"
Feeding,Bottle,"2025-07-10, 05:55","2025-07-10, 06:10","79ml, formula"
Feeding,Bottle,"2025-07-10, 02:50","2025-07-10, 03:00","114ml, formula"
Feeding,Bottle,"2025-07-09, 18:10","2025-07-09, 19:10","240ml, formula"
Feeding,Bottle,"2025-07-09, 14:30","2025-07-09, 15:00","84ml, formula"
Feeding,Bottle,"2025-07-09, 11:30","2025-07-09, 12:00","143ml, formula"
Feeding,Bottle,"2025-07-09, 07:40","2025-07-09, 08:00","56ml, formula"
Feeding,Bottle,"2025-07-09, 04:35","2025-07-09, 04:45","89ml, formula"
Feeding,Bottle,"2025-07-09, 01:00","2025-07-09, 01:10","58ml, formula"
Feeding,Bottle,"2025-07-08, 19:20","2025-07-08, 19:35","209ml, formula"
Feeding,Bottle,"2025-07-08, 16:45","2025-07-08, 17:00","37ml, formula"
Feeding,Bottle,"2025-07-08, 13:45","2025-07-08, 14:00","114ml, formula"
Feeding,Bottle,"2025-07-08, 10:05","2025-07-08, 10:25","124ml, formula"
Feeding,Bottle,"2025-07-08, 06:30","2025-07-08, 07:00","207ml, formula"
Feeding,Bottle,"2025-07-08, 03:20","2025-07-08, 03:30","166ml, formula"
Feeding,Bottle,"2025-07-07, 19:10","2025-07-07, 19:30","171ml, formula"
Feeding,Bottle,"2025-07-07, 16:30","2025-07-07, 16:50","102ml, formula"
Feeding,Bottle,"2025-07-07, 13:30","2025-07-07, 14:00","172ml, formula"
Feeding,Bottle,"2025-07-07, 10:30","2025-07-07, 10:45","140ml, formula"
Feeding,Bottle,"2025-07-07, 07:25","2025-07-07, 07:35","126ml, formula"
Feeding,Bottle,"2025-07-07, 04:20","2025-07-07, 04:30","133ml, formula"
Feeding,Bottle,"2025-07-06, 19:10","2025-07-06, 19:30","285ml, formula"
Feeding,Bottle,"2025-07-06, 15:15","2025-07-06, 15:45","104ml, formula"
Feeding,Bottle,"2025-07-06, 11:45","2025-07-06, 12:00","208ml, formula"
Feeding,Bottle,"2025-07-06, 08:30","2025-07-06, 08:45","208ml, formula"
Feeding,Bottle,"2025-07-06, 05:10","2025-07-06, 05:20","154ml, formula"
Feeding,Bottle,"2025-07-06, 01:30","2025-07-06, 01:40","133ml, formula"
Feeding,Bottle,"2025-07-05, 19:20","2025-07-05, 19:30","171ml, formula"
Feeding,Bottle,"2025-07-05, 17:00","2025-07-05, 17:30","95ml, formula"
Feeding,Bottle,"2025-07-05, 14:30","2025-07-05, 14:55","105ml, formula"
Feeding,Bottle,"2025-07-05, 11:45","2025-07-05, 12:15","140ml, formula"
Feeding,Bottle,"2025-07-05, 08:30","2025-07-05, 10:00","94ml, formula"
Feeding,Bottle,"2025-07-05, 05:20","2025-07-05, 05:40","131ml, formula"
Feeding,Bottle,"2025-07-05, 00:50","2025-07-05, 01:00","173ml, formula"
Feeding,Bottle,"2025-07-04, 19:10","2025-07-04, 19:30","150ml, formula"
Feeding,Bottle,"2025-07-04, 16:40","2025-07-04, 17:00","133ml, formula"
Feeding,Bottle,"2025-07-04, 13:40","2025-07-04, 14:10","182ml, formula"
Feeding,Bottle,"2025-07-04, 10:30","2025-07-04, 10:45","118ml, formula"
Feeding,Bottle,"2025-07-04, 07:25","2025-07-04, 07:50","116ml, formula"
