Activity,Type,Start,Finish,Details,,,
Feeding,Bottle,"2025-09-05, 05:50","2025-09-05, 06:00","160ml, formula",,,160
Feeding,Bottle,"2025-09-05, 00:20","2025-09-05, 00:50","145ml, formula",,,145
Feeding,Bottle,"2025-09-04, 18:20","2025-09-04, 18:30","190ml, formula",,,190
Feeding,Bottle,"2025-09-04, 16:15","2025-09-04, 17:15","25ml, formula",,,25
Feeding,Bottle,"2025-09-04, 12:35","2025-09-04, 13:00","180ml, formula",,,180
Feeding,Bottle,"2025-09-04, 09:25","2025-09-04, 10:25","150ml, formula",,,150
Feeding,Bottle,"2025-09-04, 06:05","2025-09-04, 06:20","160ml, formula",,,160
Feeding,Bottle,"2025-09-04, 01:30","2025-09-04, 01:40","60ml, formula",,,60
Feeding,Bottle,"2025-09-03, 22:10","2025-09-03, 22:15","60ml, formula",,,60
Feeding,Bottle,"2025-09-03, 18:30","2025-09-03, 19:00","210ml, formula",,,210
Feeding,Bottle,"2025-09-03, 15:15","2025-09-03, 15:45","70ml, formula",,,70
Feeding,Bottle,"2025-09-03, 12:00","2025-09-03, 12:30","100ml, formula",,,100
Feeding,Bottle,"2025-09-03, 07:40","2025-09-03, 09:10","160ml, formula",,,160
Feeding,Bottle,"2025-09-03, 01:15","2025-09-03, 01:25","160ml, formula",,,160
Feeding,Bottle,"2025-09-02, 22:15","2025-09-02, 22:20","40ml, formula",,,40
Feeding,Bottle,"2025-09-02, 18:45","2025-09-02, 18:50","110ml, formula",,,110
Feeding,Bottle,"2025-09-02, 17:00","2025-09-02, 17:05","40ml, formula",,,40
Feeding,Bottle,"2025-09-02, 13:30","2025-09-02, 14:00","80ml, formula",,,80
Feeding,Bottle,"2025-09-02, 09:35","2025-09-02, 10:00","80ml, formula",,,80
Feeding,Bottle,"2025-09-02, 06:25","2025-09-02, 07:25","80ml, formula",,,80
Feeding,Bottle,"2025-09-01, 23:25","2025-09-01, 23:35","140ml, formula",,,140
Feeding,Bottle,"2025-09-01, 18:35","2025-09-01, 18:50","160ml, formula",,,160
Feeding,Bottle,"2025-09-01, 17:00","2025-09-01, 17:10","55ml, formula",,,55
Feeding,Bottle,"2025-09-01, 14:00","2025-09-01, 14:09","65ml, formula",,,65
Feeding,Bottle,"2025-09-01, 08:50","2025-09-01, 09:00","150ml, formula",,,150
Feeding,Bottle,"2025-09-01, 06:05","2025-09-01, 06:20","110ml, formula",,,110
Feeding,Bottle,"2025-09-01, 00:15","2025-09-01, 00:20","130ml, formula",,,130
Feeding,Bottle,"2025-08-31, 22:25","2025-08-31, 22:45","90ml, formula",,,90
Feeding,Bottle,"2025-08-31, 18:20","2025-08-31, 18:40","140ml, formula",,,140
Feeding,Bottle,"2025-08-31, 15:40","2025-08-31, 16:20","60ml, formula",,,60
Feeding,Bottle,"2025-08-31, 12:35","2025-08-31, 12:50","90ml, formula",,,90
Feeding,Bottle,"2025-08-31, 08:55","2025-08-31, 09:25","115ml, formula",,,115
Feeding,Bottle,"2025-08-31, 05:20","2025-08-31, 05:30","140ml, formula",,,140
Feeding,Bottle,"2025-08-31, 01:40","2025-08-31, 01:50","160ml, formula",,,160
Feeding,Bottle,"2025-08-30, 18:25","2025-08-30, 18:35","150ml, formula",,,150
Feeding,Bottle,"2025-08-30, 15:55","2025-08-30, 16:10","45ml, formula",,,45
Feeding,Bottle,"2025-08-30, 12:30","2025-08-30, 12:45","120ml, formula",,,120
Feeding,Bottle,"2025-08-30, 08:50","2025-08-30, 09:00","140ml, formula",,,140
Feeding,Bottle,"2025-08-30, 05:45","2025-08-30, 06:00","160ml, formula",,,160
Feeding,Bottle,"2025-08-30, 01:05","2025-08-30, 01:15","140ml, formula",,,140
Feeding,Bottle,"2025-08-29, 18:20","2025-08-29, 18:35","260ml, formula",,,260
Feeding,Bottle,"2025-08-29, 16:30","2025-08-29, 16:40","30ml, formula",,,30
Feeding,Bottle,"2025-08-29, 13:45","2025-08-29, 14:15","100ml, formula",,,100
Feeding,Bottle,"2025-08-29, 10:40","2025-08-29, 10:50","100ml, formula",,,100
Feeding,Bottle,"2025-08-29, 07:30","2025-08-29, 08:00","90ml, formula",,,90
Feeding,Bottle,"2025-08-29, 03:25","2025-08-29, 03:35","135ml, formula",,,135
Feeding,Bottle,"2025-08-28, 23:20","2025-08-28, 23:30","130ml, formula",,,130
Feeding,Bottle,"2025-08-28, 18:30","2025-08-28, 19:00","220ml, formula",,,220
Feeding,Bottle,"2025-08-28, 17:00","2025-08-28, 17:15","90ml, formula",,,90
Feeding,Bottle,"2025-08-28, 14:15","2025-08-28, 14:20","145ml, formula",,,145
Feeding,Bottle,"2025-08-28, 11:05","2025-08-28, 11:20","130ml, formula",,,130
Feeding,Bottle,"2025-08-28, 07:30","2025-08-28, 08:00","90ml, formula",,,90
Feeding,Bottle,"2025-08-28, 02:30","2025-08-28, 02:45","160ml, formula",,,160
Feeding,Bottle,"2025-08-27, 18:30","2025-08-27, 18:45","220ml, formula",,,220
Feeding,Bottle,"2025-08-27, 17:20","2025-08-27, 17:25","50ml, formula",,,50
Feeding,Bottle,"2025-08-27, 13:50","2025-08-27, 14:10","150ml, formula",,,150
Feeding,Bottle,"2025-08-27, 10:15","2025-08-27, 10:25","120ml, formula",,,120
Feeding,Bottle,"2025-08-27, 06:50","2025-08-27, 07:00","160ml, formula",,,160
Feeding,Bottle,"2025-08-27, 01:05","2025-08-27, 01:15","195ml, formula",,,195
Feeding,Bottle,"2025-08-26, 18:30","2025-08-26, 19:00","200ml, formula",,,200
Feeding,Bottle,"2025-08-26, 16:30","2025-08-26, 16:40","35ml, formula",,,35
Feeding,Bottle,"2025-08-26, 13:30","2025-08-26, 13:45","150ml, formula",,,150
Feeding,Bottle,"2025-08-26, 10:25","2025-08-26, 10:55","90ml, formula",,,90
Feeding,Bottle,"2025-08-26, 06:55","2025-08-26, 07:25","110ml, formula",,,110
Feeding,Bottle,"2025-08-26, 01:55","2025-08-26, 02:05","180ml, formula",,,180
Feeding,Bottle,"2025-08-25, 18:30","2025-08-25, 19:00","230ml, formula",,,230
Feeding,Bottle,"2025-08-25, 13:40","2025-08-25, 13:50","110ml, formula",,,110
Feeding,Bottle,"2025-08-25, 10:15","2025-08-25, 10:25","130ml, formula",,,130
Feeding,Bottle,"2025-08-25, 07:15","2025-08-25, 07:45","85ml, formula",,,85
Feeding,Bottle,"2025-08-25, 01:10","2025-08-25, 01:30","180ml, formula",,,180
Feeding,Bottle,"2025-08-24, 18:30","2025-08-24, 19:00","260ml, formula",,,260
Feeding,Bottle,"2025-08-24, 14:45","2025-08-24, 15:00","120ml, formula",,,120
Feeding,Bottle,"2025-08-24, 11:15","2025-08-24, 12:00","185ml, formula",,,185
Feeding,Bottle,"2025-08-24, 07:15","2025-08-24, 07:45","100ml, formula",,,100
Feeding,Bottle,"2025-08-24, 01:10","2025-08-24, 01:20","185ml, formula",,,185
Feeding,Bottle,"2025-08-23, 18:55","2025-08-23, 19:15","230ml, formula",,,230
Feeding,Bottle,"2025-08-23, 15:20","2025-08-23, 15:40","120ml, formula",,,120
Feeding,Bottle,"2025-08-23, 12:00","2025-08-23, 12:30","125ml, formula",,,125
Feeding,Bottle,"2025-08-23, 08:10","2025-08-23, 08:40","140ml, formula",,,140
Feeding,Bottle,"2025-08-23, 03:25","2025-08-23, 03:35","160ml, formula",,,160
Feeding,Bottle,"2025-08-22, 22:50","2025-08-22, 23:05","160ml, formula",,,160
Feeding,Bottle,"2025-08-22, 18:25","2025-08-22, 18:40","170ml, formula",,,170
Feeding,Bottle,"2025-08-22, 16:20","2025-08-22, 16:30","120ml, formula",,,120
Feeding,Bottle,"2025-08-22, 13:20","2025-08-22, 13:30","125ml, formula",,,125
Feeding,Bottle,"2025-08-22, 09:00","2025-08-22, 09:30","110ml, formula",,,110
Feeding,Bottle,"2025-08-22, 05:15","2025-08-22, 05:30","155ml, formula",,,155
Feeding,Bottle,"2025-08-22, 01:00","2025-08-22, 01:15","150ml, formula",,,150
Feeding,Bottle,"2025-08-21, 18:55","2025-08-21, 19:10","240ml, formula",,,240
Feeding,Bottle,"2025-08-21, 16:45","2025-08-21, 17:00","125ml, formula",,,125
Feeding,Bottle,"2025-08-21, 13:25","2025-08-21, 13:45","180ml, formula",,,180
Feeding,Bottle,"2025-08-21, 09:50","2025-08-21, 10:20","110ml, formula",,,110
Feeding,Bottle,"2025-08-21, 06:40","2025-08-21, 07:10","100ml, formula",,,100
Feeding,Bottle,"2025-08-21, 02:50","2025-08-21, 03:00","200ml, formula",,,200
Feeding,Bottle,"2025-08-20, 18:30","2025-08-20, 19:00","230ml, formula",,,230
Feeding,Bottle,"2025-08-20, 16:30","2025-08-20, 16:45","55ml, formula",,,55
Feeding,Bottle,"2025-08-20, 13:00","2025-08-20, 13:30","130ml, formula",,,130
Feeding,Bottle,"2025-08-20, 09:35","2025-08-20, 09:50","120ml, formula",,,120
Feeding,Bottle,"2025-08-20, 06:15","2025-08-20, 06:30","160ml, formula",,,160
Feeding,Bottle,"2025-08-20, 01:50","2025-08-20, 02:00","165ml, formula",,,165
Feeding,Bottle,"2025-08-19, 18:40","2025-08-19, 18:50","200ml, formula",,,200
Feeding,Bottle,"2025-08-19, 14:00","2025-08-19, 15:45","100ml, formula",,,100
Feeding,Bottle,"2025-08-19, 11:00","2025-08-19, 11:10","130ml, formula",,,130
Feeding,Bottle,"2025-08-19, 07:30","2025-08-19, 08:00","100ml, formula",,,100
Feeding,Bottle,"2025-08-19, 01:15","2025-08-19, 01:25","200ml, formula",,,200
Feeding,Bottle,"2025-08-18, 18:40","2025-08-18, 19:00","260ml, formula",,,260
Feeding,Bottle,"2025-08-18, 16:35","2025-08-18, 16:50","80ml, formula",,,80
Feeding,Bottle,"2025-08-18, 13:30","2025-08-18, 14:00","110ml, formula",,,110
Feeding,Bottle,"2025-08-18, 10:30","2025-08-18, 11:00","100ml, formula",,,100
Feeding,Bottle,"2025-08-18, 07:30","2025-08-18, 08:30","100ml, formula",,,100
Feeding,Bottle,"2025-08-18, 00:30","2025-08-18, 00:45","150ml, formula",,,150
Feeding,Bottle,"2025-08-17, 18:40","2025-08-17, 18:55","260ml, formula",,,260
Feeding,Bottle,"2025-08-17, 16:15","2025-08-17, 16:25","80ml, formula",,,80
Feeding,Bottle,"2025-08-17, 13:45","2025-08-17, 13:55","160ml, formula",,,160
Feeding,Bottle,"2025-08-17, 10:00","2025-08-17, 10:45","110ml, formula",,,110
Feeding,Bottle,"2025-08-17, 06:40","2025-08-17, 07:00","120ml, formula",,,120
Feeding,Bottle,"2025-08-17, 00:20","2025-08-17, 00:30","75ml, formula",,,75
Feeding,Bottle,"2025-08-16, 19:00","2025-08-16, 19:20","260ml, formula",,,260
Feeding,Bottle,"2025-08-16, 16:00","2025-08-16, 16:30","150ml, formula",,,150
Feeding,Bottle,"2025-08-16, 13:00","2025-08-16, 14:00","110ml, formula",,,110
Feeding,Bottle,"2025-08-16, 10:00","2025-08-16, 10:15","130ml, formula",,,130
Feeding,Bottle,"2025-08-16, 06:40","2025-08-16, 07:00","160ml, formula",,,160
Feeding,Bottle,"2025-08-16, 01:05","2025-08-16, 01:15","160ml, formula",,,160
Feeding,Bottle,"2025-08-15, 18:35","2025-08-15, 19:00","200ml, formula",,,200
Feeding,Bottle,"2025-08-15, 15:50","2025-08-15, 16:30","75ml, formula",,,75
Feeding,Bottle,"2025-08-15, 12:40","2025-08-15, 13:10","110ml, formula",,,110
Feeding,Bottle,"2025-08-15, 09:10","2025-08-15, 09:20","90ml, formula",,,90
Feeding,Bottle,"2025-08-15, 05:50","2025-08-15, 06:10","135ml, formula",,,135
Feeding,Bottle,"2025-08-15, 00:30","2025-08-15, 02:00","130ml, formula",,,130
Feeding,Bottle,"2025-08-14, 19:00","2025-08-14, 19:30","230ml, formula",,,230
Feeding,Bottle,"2025-08-14, 15:15","2025-08-14, 15:45","100ml, formula",,,100
Feeding,Bottle,"2025-08-14, 11:45","2025-08-14, 12:45","100ml, formula",,,100
Feeding,Bottle,"2025-08-14, 08:10","2025-08-14, 10:10","145ml, formula",,,145
Feeding,Bottle,"2025-08-14, 00:40","2025-08-14, 00:50","150ml, formula",,,150
Feeding,Bottle,"2025-08-13, 18:40","2025-08-13, 19:10","260ml, formula",,,260
Feeding,Bottle,"2025-08-13, 14:50","2025-08-13, 15:20","130ml, formula",,,130
Feeding,Bottle,"2025-08-13, 11:45","2025-08-13, 12:15","130ml, formula",,,130
Feeding,Bottle,"2025-08-13, 08:25","2025-08-13, 08:55","110ml, formula",,,110
Feeding,Bottle,"2025-08-13, 02:55","2025-08-13, 03:15","155ml, formula",,,155
Feeding,Bottle,"2025-08-12, 18:35","2025-08-12, 19:00","230ml, formula",,,230
Feeding,Bottle,"2025-08-12, 15:10","2025-08-12, 16:00","120ml, formula",,,120
Feeding,Bottle,"2025-08-12, 11:10","2025-08-12, 13:00","110ml, formula",,,110
Feeding,Bottle,"2025-08-12, 07:55","2025-08-12, 08:55","120ml, formula",,,120
Feeding,Bottle,"2025-08-12, 03:30","2025-08-12, 03:40","120ml, formula",,,120
Feeding,Bottle,"2025-08-12, 00:40","2025-08-12, 00:50","90ml, formula",,,90
Feeding,Bottle,"2025-08-11, 18:50","2025-08-11, 19:20","200ml, formula",,,200
Feeding,Bottle,"2025-08-11, 15:50","2025-08-11, 16:30","160ml, formula",,,160
Feeding,Bottle,"2025-08-11, 12:45","2025-08-11, 13:15","100ml, formula",,,100
Feeding,Bottle,"2025-08-11, 09:10","2025-08-11, 09:40","100ml, formula",,,100
Feeding,Bottle,"2025-08-11, 05:45","2025-08-11, 06:15","130ml, formula",,,130
Feeding,Bottle,"2025-08-11, 01:15","2025-08-11, 01:25","40ml, formula",,,40
Feeding,Bottle,"2025-08-10, 23:40","2025-08-10, 23:50","40ml, formula",,,40
Feeding,Bottle,"2025-08-10, 18:35","2025-08-10, 19:00","230ml, formula",,,230
Feeding,Bottle,"2025-08-10, 17:15","2025-08-10, 17:20","10ml, formula",,,10
Feeding,Bottle,"2025-08-10, 14:35","2025-08-10, 15:05","110ml, formula",,,110
Feeding,Bottle,"2025-08-10, 11:35","2025-08-10, 12:05","100ml, formula",,,100
Feeding,Bottle,"2025-08-10, 07:35","2025-08-10, 09:10","100ml, formula",,,100
Feeding,Bottle,"2025-08-10, 02:05","2025-08-10, 02:30","140ml, formula",,,140
Feeding,Bottle,"2025-08-09, 19:00","2025-08-09, 19:20","210ml, formula",,,210
Feeding,Bottle,"2025-08-09, 16:45","2025-08-09, 17:15","70ml, formula",,,70
Feeding,Bottle,"2025-08-09, 13:10","2025-08-09, 13:40","85ml, formula",,,85
Feeding,Bottle,"2025-08-09, 10:10","2025-08-09, 10:40","60ml, formula",,,60
Feeding,Bottle,"2025-08-09, 07:10","2025-08-09, 07:40","110ml, formula",,,110
Feeding,Bottle,"2025-08-09, 02:00","2025-08-09, 02:15","130ml, formula",,,130
Feeding,Bottle,"2025-08-08, 18:40","2025-08-08, 19:00","190ml, formula",,,190
Feeding,Bottle,"2025-08-08, 17:00","2025-08-08, 17:05","10ml, formula",,,10
Feeding,Bottle,"2025-08-08, 14:20","2025-08-08, 14:50","80ml, formula",,,80
Feeding,Bottle,"2025-08-08, 11:15","2025-08-08, 11:45","120ml, formula",,,120
Feeding,Bottle,"2025-08-08, 08:00","2025-08-08, 08:30","150ml, formula",,,150
Feeding,Bottle,"2025-08-08, 01:00","2025-08-08, 02:00","130ml, formula",,,130
Feeding,Bottle,"2025-08-07, 18:30","2025-08-07, 19:00","190ml, formula",,,190
Feeding,Bottle,"2025-08-07, 14:55","2025-08-07, 15:25","50ml, formula",,,50
Feeding,Bottle,"2025-08-07, 11:30","2025-08-07, 12:45","130ml, formula",,,130
Feeding,Bottle,"2025-08-07, 08:30","2025-08-07, 09:00","60ml, formula",,,60
Feeding,Bottle,"2025-08-07, 03:15","2025-08-07, 03:30","115ml, formula",,,115
Feeding,Bottle,"2025-08-06, 18:30","2025-08-06, 19:00","200ml, formula",,,200
Feeding,Bottle,"2025-08-06, 15:15","2025-08-06, 17:00","90ml, formula",,,90
Feeding,Bottle,"2025-08-06, 12:00","2025-08-06, 12:30","60ml, formula",,,60
Feeding,Bottle,"2025-08-06, 10:40","2025-08-06, 11:00","60ml, formula",,,60
Feeding,Bottle,"2025-08-06, 07:35","2025-08-06, 08:00","90ml, formula",,,90
Feeding,Bottle,"2025-08-05, 23:00","2025-08-05, 23:15","80ml, formula",,,80
Feeding,Bottle,"2025-08-05, 18:30","2025-08-05, 19:00","200ml, formula",,,200
Feeding,Bottle,"2025-08-05, 17:00","2025-08-05, 17:05","10ml, formula",,,10
Feeding,Bottle,"2025-08-05, 14:15","2025-08-05, 14:45","90ml, formula",,,90
Feeding,Bottle,"2025-08-05, 10:50","2025-08-05, 11:20","90ml, formula",,,90
Feeding,Bottle,"2025-08-05, 07:40","2025-08-05, 08:00","110ml, formula",,,110
Feeding,Bottle,"2025-08-05, 03:15","2025-08-05, 03:30","80ml, formula",,,80
Feeding,Bottle,"2025-08-04, 18:45","2025-08-04, 19:00","150ml, formula",,,150
Feeding,Bottle,"2025-08-04, 17:05","2025-08-04, 17:30","90ml, formula",,,90
Feeding,Bottle,"2025-08-04, 13:30","2025-08-04, 14:00","100ml, formula",,,100
Feeding,Bottle,"2025-08-04, 10:30","2025-08-04, 11:30","110ml, formula",,,110
Feeding,Bottle,"2025-08-04, 07:45","2025-08-04, 08:00","80ml, formula",,,80
Feeding,Bottle,"2025-08-04, 02:20","2025-08-04, 02:35","130ml, formula",,,130
Feeding,Bottle,"2025-08-03, 18:35","2025-08-03, 19:00","180ml, formula",,,180
Feeding,Bottle,"2025-08-03, 17:00","2025-08-03, 17:10","40ml, formula",,,40
Feeding,Bottle,"2025-08-03, 14:40","2025-08-03, 15:10","140ml, formula",,,140
Feeding,Bottle,"2025-08-03, 11:40","2025-08-03, 12:00","110ml, formula",,,110
Feeding,Bottle,"2025-08-03, 07:40","2025-08-03, 08:00","100ml, formula",,,100
Feeding,Bottle,"2025-08-03, 00:55","2025-08-03, 01:05","130ml, formula",,,130
Feeding,Bottle,"2025-08-02, 18:40","2025-08-02, 19:00","220ml, formula",,,220
Feeding,Bottle,"2025-08-02, 17:00","2025-08-02, 17:10","50ml, formula",,,50
Feeding,Bottle,"2025-08-02, 13:50","2025-08-02, 14:05","160ml, formula",,,160
Feeding,Bottle,"2025-08-02, 10:30","2025-08-02, 11:00","130ml, formula",,,130
Feeding,Bottle,"2025-08-02, 07:10","2025-08-02, 07:40","100ml, formula",,,100
Feeding,Bottle,"2025-08-02, 02:40","2025-08-02, 02:50","120ml, formula",,,120
Feeding,Bottle,"2025-08-01, 18:50","2025-08-01, 19:10","200ml, formula",,,200
Feeding,Bottle,"2025-08-01, 17:00","2025-08-01, 17:15","70ml, formula",,,70
Feeding,Bottle,"2025-08-01, 13:35","2025-08-01, 13:59","160ml, formula",,,160
Feeding,Bottle,"2025-08-01, 10:25","2025-08-01, 10:55","130ml, formula",,,130
Feeding,Bottle,"2025-08-01, 07:30","2025-08-01, 08:00","90ml, formula",,,90
Feeding,Bottle,"2025-08-01, 01:30","2025-08-01, 01:45","140ml, formula",,,140
Feeding,Bottle,"2025-07-31, 18:55","2025-07-31, 19:40","190ml, formula",,,190
Feeding,Bottle,"2025-07-31, 15:10","2025-07-31, 15:40","80ml, formula",,,80
Feeding,Bottle,"2025-07-31, 11:50","2025-07-31, 12:10","160ml, formula",,,160
Feeding,Bottle,"2025-07-31, 08:20","2025-07-31, 09:10","125ml, formula",,,125
Feeding,Bottle,"2025-07-31, 00:45","2025-07-31, 00:50","80ml, formula",,,80
Feeding,Bottle,"2025-07-30, 18:30","2025-07-30, 19:00","200ml, formula",,,200
Feeding,Bottle,"2025-07-30, 16:55","2025-07-30, 17:00","20ml, formula",,,20
Feeding,Bottle,"2025-07-30, 14:20","2025-07-30, 14:50","80ml, formula",,,80
Feeding,Bottle,"2025-07-30, 11:10","2025-07-30, 11:40","120ml, formula",,,120
Feeding,Bottle,"2025-07-30, 07:30","2025-07-30, 07:50","110ml, formula",,,110
Feeding,Bottle,"2025-07-30, 01:20","2025-07-30, 01:25","95ml, formula",,,95
Feeding,Bottle,"2025-07-29, 18:50","2025-07-29, 19:10","200ml, formula",,,200
Feeding,Bottle,"2025-07-29, 15:25","2025-07-29, 15:55","160ml, formula",,,160
Feeding,Bottle,"2025-07-29, 12:05","2025-07-29, 12:30","125ml, formula",,,125
Feeding,Bottle,"2025-07-29, 08:55","2025-07-29, 09:25","110ml, formula",,,110
Feeding,Bottle,"2025-07-29, 05:30","2025-07-29, 05:35","70ml, formula",,,70
Feeding,Bottle,"2025-07-29, 01:10","2025-07-29, 01:19","130ml, formula",,,130
Feeding,Bottle,"2025-07-28, 18:50","2025-07-28, 19:10","120ml, formula",,,120
Feeding,Bottle,"2025-07-28, 16:30","2025-07-28, 17:00","80ml, formula",,,80
Feeding,Bottle,"2025-07-28, 13:00","2025-07-28, 13:30","120ml, formula",,,120
Feeding,Bottle,"2025-07-28, 09:30","2025-07-28, 10:00","120ml, formula",,,120
Feeding,Bottle,"2025-07-28, 05:40","2025-07-28, 05:50","115ml, formula",,,115
Feeding,Bottle,"2025-07-28, 00:05","2025-07-28, 00:15","95ml, formula",,,95
Feeding,Bottle,"2025-07-27, 19:05","2025-07-27, 19:15","175ml, formula",,,175
Feeding,Bottle,"2025-07-27, 16:55","2025-07-27, 17:10","90ml, formula",,,90
Feeding,Bottle,"2025-07-27, 13:20","2025-07-27, 13:40","150ml, formula",,,150
Feeding,Bottle,"2025-07-27, 09:25","2025-07-27, 09:55","125ml, formula",,,125
Feeding,Bottle,"2025-07-27, 05:55","2025-07-27, 06:25","160ml, formula",,,160
Feeding,Bottle,"2025-07-27, 01:50","2025-07-27, 02:05","150ml, formula",,,150
Feeding,Bottle,"2025-07-26, 20:10","2025-07-26, 20:20","105ml, formula",,,105
Feeding,Bottle,"2025-07-26, 17:15","2025-07-26, 17:30","70ml, formula",,,70
Feeding,Bottle,"2025-07-26, 14:55","2025-07-26, 15:25","110ml, formula",,,110
Feeding,Bottle,"2025-07-26, 11:35","2025-07-26, 12:00","120ml, formula",,,120
Feeding,Bottle,"2025-07-26, 08:10","2025-07-26, 08:40","150ml, formula",,,150
Feeding,Bottle,"2025-07-26, 05:10","2025-07-26, 05:20","120ml, formula",,,120
Feeding,Bottle,"2025-07-25, 18:55","2025-07-25, 19:10","225ml, formula",,,225
Feeding,Bottle,"2025-07-25, 14:40","2025-07-25, 15:00","150ml, formula",,,150
Feeding,Bottle,"2025-07-25, 11:05","2025-07-25, 11:20","130ml, formula",,,130
Feeding,Bottle,"2025-07-25, 08:00","2025-07-25, 08:30","100ml, formula",,,100
Feeding,Bottle,"2025-07-25, 04:10","2025-07-25, 04:25","160ml, formula",,,160
Feeding,Bottle,"2025-07-24, 19:00","2025-07-24, 19:15","230ml, formula",,,230
Feeding,Bottle,"2025-07-24, 15:20","2025-07-24, 15:35","90ml, formula",,,90
Feeding,Bottle,"2025-07-24, 12:00","2025-07-24, 12:15","90ml, formula",,,90
Feeding,Bottle,"2025-07-24, 08:55","2025-07-24, 09:10","110ml, formula",,,110
Feeding,Bottle,"2025-07-24, 05:50","2025-07-24, 06:05","120ml, formula",,,120
Feeding,Bottle,"2025-07-24, 01:30","2025-07-24, 01:40","95ml, formula",,,95
Feeding,Bottle,"2025-07-23, 19:05","2025-07-23, 19:30","230ml, formula",,,230
Feeding,Bottle,"2025-07-23, 15:30","2025-07-23, 16:00","160ml, formula",,,160
Feeding,Bottle,"2025-07-23, 12:00","2025-07-23, 12:20","160ml, formula",,,160
Feeding,Bottle,"2025-07-23, 08:35","2025-07-23, 09:30","100ml, formula",,,100
Feeding,Bottle,"2025-07-23, 05:20","2025-07-23, 05:30","100ml, formula",,,100
Feeding,Bottle,"2025-07-22, 19:00","2025-07-22, 19:30","230ml, formula",,,230
Feeding,Bottle,"2025-07-22, 17:10","2025-07-22, 17:15","70ml, formula",,,70
Feeding,Bottle,"2025-07-22, 14:10","2025-07-22, 14:30","70ml, formula",,,70
Feeding,Bottle,"2025-07-22, 11:00","2025-07-22, 11:45","150ml, formula",,,150
Feeding,Bottle,"2025-07-22, 08:15","2025-07-22, 08:30","90ml, formula",,,90
Feeding,Bottle,"2025-07-22, 04:50","2025-07-22, 05:00","120ml, formula",,,120
Feeding,Bottle,"2025-07-21, 19:00","2025-07-21, 19:15","200ml, formula",,,200
Feeding,Bottle,"2025-07-21, 17:00","2025-07-21, 17:05","30ml, formula",,,30
Feeding,Bottle,"2025-07-21, 14:30","2025-07-21, 15:00","130ml, formula",,,130
Feeding,Bottle,"2025-07-21, 11:25","2025-07-21, 11:55","130ml, formula",,,130
Feeding,Bottle,"2025-07-21, 08:00","2025-07-21, 09:00","110ml, formula",,,110
Feeding,Bottle,"2025-07-21, 03:50","2025-07-21, 03:55","100ml, formula",,,100
Feeding,Bottle,"2025-07-20, 22:30","2025-07-20, 22:35","30ml, formula",,,30
Feeding,Bottle,"2025-07-20, 19:05","2025-07-20, 19:30","220ml, formula",,,220
Feeding,Bottle,"2025-07-20, 17:40","2025-07-20, 17:45","45ml, formula",,,45
Feeding,Bottle,"2025-07-20, 14:15","2025-07-20, 14:40","120ml, formula",,,120
Feeding,Bottle,"2025-07-20, 10:50","2025-07-20, 11:50","150ml, formula",,,150
Feeding,Bottle,"2025-07-20, 07:30","2025-07-20, 08:00","120ml, formula",,,120
Feeding,Bottle,"2025-07-20, 02:00","2025-07-20, 02:15","105ml, formula",,,105
Feeding,Bottle,"2025-07-19, 19:00","2025-07-19, 19:30","230ml, formula",,,230
Feeding,Bottle,"2025-07-19, 15:00","2025-07-19, 15:30","110ml, formula",,,110
Feeding,Bottle,"2025-07-19, 11:40","2025-07-19, 12:05","150ml, formula",,,150
Feeding,Bottle,"2025-07-19, 08:00","2025-07-19, 08:30","110ml, formula",,,110
Feeding,Bottle,"2025-07-19, 04:45","2025-07-19, 05:00","150ml, formula",,,150
Feeding,Bottle,"2025-07-19, 00:45","2025-07-19, 00:55","95ml, formula",,,95
Feeding,Bottle,"2025-07-18, 19:10","2025-07-18, 19:30","225ml, formula",,,225
Feeding,Bottle,"2025-07-18, 16:45","2025-07-18, 17:15","70ml, formula",,,70
Feeding,Bottle,"2025-07-18, 13:45","2025-07-18, 14:15","150ml, formula",,,150
Feeding,Bottle,"2025-07-18, 10:45","2025-07-18, 11:25","80ml, formula",,,80
Feeding,Bottle,"2025-07-18, 07:40","2025-07-18, 08:00","130ml, formula",,,130
Feeding,Bottle,"2025-07-17, 22:45","2025-07-17, 23:10","100ml, formula",,,100
Feeding,Bottle,"2025-07-17, 19:00","2025-07-17, 19:15","180ml, formula",,,180
Feeding,Bottle,"2025-07-17, 15:45","2025-07-17, 16:00","95ml, formula",,,95
Feeding,Bottle,"2025-07-17, 12:45","2025-07-17, 13:00","160ml, formula",,,160
Feeding,Bottle,"2025-07-17, 09:15","2025-07-17, 09:45","100ml, formula",,,100
Feeding,Bottle,"2025-07-17, 06:10","2025-07-17, 06:30","130ml, formula",,,130
Feeding,Bottle,"2025-07-17, 01:10","2025-07-17, 01:15","70ml, formula",,,70
Feeding,Bottle,"2025-07-16, 18:50","2025-07-16, 19:10","190ml, formula",,,190
Feeding,Bottle,"2025-07-16, 15:45","2025-07-16, 16:10","150ml, formula",,,150
Feeding,Bottle,"2025-07-16, 12:30","2025-07-16, 13:00","140ml, formula",,,140
Feeding,Bottle,"2025-07-16, 09:20","2025-07-16, 09:50","100ml, formula",,,100
Feeding,Bottle,"2025-07-16, 06:20","2025-07-16, 06:40","140ml, formula",,,140
